K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.002000,1.000000,48,0.960523,0.003064
64,0.001000,0.002000,1.000000,49,0.959130,0.000000
64,0.001000,0.005000,0.750000,5,0.993653,0.002490
64,0.001000,0.005000,0.750000,7,0.992133,0.001602
64,0.001000,0.005000,0.750000,8,0.994547,0.002642
64,0.001000,0.005000,0.750000,9,0.992824,0.000000
64,0.001000,0.005000,0.775000,5,0.993653,0.002490
64,0.001000,0.005000,0.775000,8,0.990476,0.000000
64,0.001000,0.005000,0.775000,9,0.994038,0.003229
64,0.001000,0.005000,0.775000,10,0.993990,0.002068
64,0.001000,0.005000,0.775000,11,0.996409,0.000000
64,0.001000,0.005000,0.800000,5,0.993652,0.002491
64,0.001000,0.005000,0.800000,10,0.993643,0.002492
64,0.001000,0.005000,0.800000,11,0.990465,0.000000
64,0.001000,0.005000,0.800000,12,0.994872,0.001538
64,0.001000,0.005000,0.800000,13,0.993743,0.002512
64,0.001000,0.005000,0.825000,5,0.993652,0.002492
64,0.001000,0.005000,0.825000,10,0.993639,0.002492
64,0.001000,0.005000,0.825000,15,0.993631,0.002493
64,0.001000,0.005000,0.825000,16,0.993599,0.002801
64,0.001000,0.005000,0.825000,17,0.993086,0.002050
64,0.001000,0.005000,0.850000,5,0.993650,0.002490
64,0.001000,0.005000,0.850000,10,0.993632,0.002490
64,0.001000,0.005000,0.850000,15,0.993617,0.002490
64,0.001000,0.005000,0.850000,20,0.993608,0.002489
64,0.001000,0.005000,0.850000,22,0.994495,0.002366
64,0.001000,0.005000,0.850000,23,0.991597,0.001121
64,0.001000,0.005000,0.850000,24,0.995847,0.001613
64,0.001000,0.005000,0.875000,5,0.993649,0.002491
64,0.001000,0.005000,0.875000,10,0.993619,0.002490
64,0.001000,0.005000,0.875000,15,0.993585,0.002489
64,0.001000,0.005000,0.875000,20,0.993557,0.002488
64,0.001000,0.005000,0.875000,25,0.993539,0.002487
64,0.001000,0.005000,0.875000,30,0.993529,0.002486
64,0.001000,0.005000,0.875000,32,0.991840,0.000000
64,0.001000,0.005000,0.875000,33,0.991521,0.000000
64,0.001000,0.005000,0.875000,34,0.994124,0.002747
64,0.001000,0.005000,0.875000,35,0.993847,0.002393
64,0.001000,0.005000,0.875000,36,0.995273,0.002089
64,0.001000,0.005000,0.900000,5,0.993648,0.002490
64,0.001000,0.005000,0.900000,10,0.993605,0.002489
64,0.001000,0.005000,0.900000,15,0.993533,0.002488
64,0.001000,0.005000,0.900000,20,0.993451,0.002486
64,0.001000,0.005000,0.900000,25,0.993379,0.002484
64,0.001000,0.005000,0.900000,30,0.993326,0.002483
64,0.001000,0.005000,0.900000,35,0.993290,0.002482
64,0.001000,0.005000,0.900000,40,0.993267,0.002482
64,0.001000,0.005000,0.900000,45,0.993253,0.002481
64,0.001000,0.005000,0.900000,50,0.993244,0.002481
64,0.001000,0.005000,0.925000,5,0.993644,0.002492
64,0.001000,0.005000,0.925000,10,0.993570,0.002493
64,0.001000,0.005000,0.925000,15,0.993374,0.002496
64,0.001000,0.005000,0.925000,20,0.993036,0.002501
64,0.001000,0.005000,0.925000,25,0.992609,0.002507
64,0.001000,0.005000,0.925000,30,0.992173,0.002513
64,0.001000,0.005000,0.925000,35,0.991790,0.002519
64,0.001000,0.005000,0.925000,40,0.991484,0.002524
64,0.001000,0.005000,0.925000,45,0.991254,0.002528
64,0.001000,0.005000,0.925000,50,0.991086,0.002531
64,0.001000,0.005000,0.950000,5,0.993643,0.002489
64,0.001000,0.005000,0.950000,10,0.993527,0.002485
64,0.001000,0.005000,0.950000,15,0.993024,0.002470
64,0.001000,0.005000,0.950000,20,0.991608,0.002448
64,0.001000,0.005000,0.950000,25,0.989127,0.002452
64,0.001000,0.005000,0.950000,30,0.986401,0.002468
64,0.001000,0.005000,0.950000,35,0.984287,0.002475
64,0.001000,0.005000,0.950000,40,0.982886,0.002485
64,0.001000,0.005000,0.950000,45,0.981960,0.002496
64,0.001000,0.005000,0.950000,50,0.981309,0.002505
64,0.001000,0.005000,0.975000,5,0.993641,0.002490
64,0.001000,0.005000,0.975000,10,0.993436,0.002479
64,0.001000,0.005000,0.975000,15,0.991837,0.002405
64,0.001000,0.005000,0.975000,20,0.986094,0.002399
64,0.001000,0.005000,0.975000,25,0.980970,0.002628
64,0.001000,0.005000,0.975000,30,0.977308,0.002709
64,0.001000,0.005000,0.975000,35,0.973789,0.002757
64,0.001000,0.005000,0.975000,40,0.971057,0.002790
64,0.001000,0.005000,0.975000,45,0.969036,0.002803
64,0.001000,0.005000,0.975000,50,0.967527,0.002794
64,0.001000,0.005000,1.000000,5,0.993637,0.002490
64,0.001000,0.005000,1.000000,10,0.993257,0.002488
64,0.001000,0.005000,1.000000,15,0.988262,0.002521
64,0.001000,0.005000,1.000000,20,0.979329,0.002782
64,0.001000,0.005000,1.000000,25,0.971671,0.002851
64,0.001000,0.005000,1.000000,30,0.966472,0.002801
64,0.001000,0.005000,1.000000,35,0.963131,0.002625
64,0.001000,0.005000,1.000000,40,0.961394,0.002453
64,0.001000,0.005000,1.000000,45,0.960799,0.002436
64,0.001000,0.005000,1.000000,47,0.960127,0.002267
64,0.001000,0.005000,1.000000,48,0.963957,0.000000
64,0.001000,0.005000,1.000000,49,0.958800,0.000000
64,0.001000,0.010000,0.750000,5,0.993654,0.002491
64,0.001000,0.010000,0.750000,7,0.994044,0.003227
64,0.001000,0.010000,0.750000,8,0.993659,0.002398
64,0.001000,0.010000,0.750000,9,0.992820,0.000000
64,0.001000,0.010000,0.775000,5,0.993653,0.002490
64,0.001000,0.010000,0.775000,8,0.993341,0.000000
64,0.001000,0.010000,0.775000,9,0.990642,0.000173
64,0.001000,0.010000,0.775000,10,0.994551,0.002332
64,0.001000,0.010000,0.775000,11,0.997263,0.000000
64,0.001000,0.010000,0.800000,5,0.993652,0.002490
64,0.001000,0.010000,0.800000,10,0.993643,0.002490
64,0.001000,0.010000,0.800000,12,0.993296,0.002151
64,0.001000,0.010000,0.800000,13,0.994159,0.002849
64,0.001000,0.010000,0.825000,5,0.993650,0.002490
64,0.001000,0.010000,0.825000,10,0.993637,0.002489
64,0.001000,0.010000,0.825000,15,0.993628,0.002488
64,0.001000,0.010000,0.825000,16,0.990457,0.000000
64,0.001000,0.010000,0.825000,17,0.994553,0.002343
64,0.001000,0.010000,0.825000,18,0.994081,0.001959
64,0.001000,0.010000,0.850000,5,0.993650,0.002492
64,0.001000,0.010000,0.850000,10,0.993631,0.002492
64,0.001000,0.010000,0.850000,15,0.993616,0.002493
64,0.001000,0.010000,0.850000,20,0.993606,0.002493
64,0.001000,0.010000,0.850000,21,0.993304,0.000000
64,0.001000,0.010000,0.850000,22,0.995044,0.003262
64,0.001000,0.010000,0.850000,23,0.993318,0.002166
64,0.001000,0.010000,0.850000,24,0.992166,0.000598
64,0.001000,0.010000,0.875000,5,0.993650,0.002491
64,0.001000,0.010000,0.875000,10,0.993624,0.002491
64,0.001000,0.010000,0.875000,15,0.993594,0.002491
64,0.001000,0.010000,0.875000,20,0.993570,0.002491
64,0.001000,0.010000,0.875000,25,0.993555,0.002491
64,0.001000,0.010000,0.875000,30,0.993545,0.002491
64,0.001000,0.010000,0.875000,32,0.993783,0.003395
64,0.001000,0.010000,0.875000,33,0.993371,0.002317
64,0.001000,0.010000,0.875000,34,0.994758,0.001542
64,0.001000,0.010000,0.875000,35,0.991494,0.000000
64,0.001000,0.010000,0.900000,5,0.993648,0.002491
64,0.001000,0.010000,0.900000,10,0.993608,0.002492
64,0.001000,0.010000,0.900000,15,0.993540,0.002493
64,0.001000,0.010000,0.900000,20,0.993464,0.002495
64,0.001000,0.010000,0.900000,25,0.993398,0.002496
64,0.001000,0.010000,0.900000,30,0.993350,0.002497
64,0.001000,0.010000,0.900000,35,0.993316,0.002498
64,0.001000,0.010000,0.900000,40,0.993295,0.002498
64,0.001000,0.010000,0.900000,45,0.993282,0.002499
64,0.001000,0.010000,0.900000,50,0.993274,0.002499
64,0.001000,0.010000,0.925000,5,0.993646,0.002491
64,0.001000,0.010000,0.925000,10,0.993576,0.002491
64,0.001000,0.010000,0.925000,15,0.993397,0.002492
64,0.001000,0.010000,0.925000,20,0.993087,0.002494
64,0.001000,0.010000,0.925000,25,0.992696,0.002498
64,0.001000,0.010000,0.925000,30,0.992296,0.002503
64,0.001000,0.010000,0.925000,35,0.991943,0.002507
64,0.001000,0.010000,0.925000,40,0.991659,0.002510
64,0.001000,0.010000,0.925000,45,0.991444,0.002513
64,0.001000,0.010000,0.925000,50,0.991288,0.002515
64,0.001000,0.010000,0.950000,5,0.993644,0.002492
64,0.001000,0.010000,0.950000,10,0.993528,0.002497
64,0.001000,0.010000,0.950000,15,0.993025,0.002523
64,0.001000,0.010000,0.950000,20,0.991607,0.002595
64,0.001000,0.010000,0.950000,25,0.989118,0.002704
64,0.001000,0.010000,0.950000,30,0.986381,0.002780
64,0.001000,0.010000,0.950000,35,0.984262,0.002813
64,0.001000,0.010000,0.950000,40,0.982867,0.002835
64,0.001000,0.010000,0.950000,45,0.981950,0.002858
64,0.001000,0.010000,0.950000,50,0.981309,0.002880
64,0.001000,0.010000,0.975000,5,0.993639,0.002490
64,0.001000,0.010000,0.975000,10,0.993429,0.002482
64,0.001000,0.010000,0.975000,15,0.991805,0.002433
64,0.001000,0.010000,0.975000,20,0.986063,0.002405
64,0.001000,0.010000,0.975000,25,0.981165,0.002483
64,0.001000,0.010000,0.975000,30,0.977630,0.002470
64,0.001000,0.010000,0.975000,35,0.974016,0.002532
64,0.001000,0.010000,0.975000,40,0.971164,0.002603
64,0.001000,0.010000,0.975000,45,0.969091,0.002625
64,0.001000,0.010000,0.975000,50,0.967556,0.002616
64,0.001000,0.010000,1.000000,5,0.993637,0.002492
64,0.001000,0.010000,1.000000,10,0.993267,0.002505
64,0.001000,0.010000,1.000000,15,0.988394,0.002669
64,0.001000,0.010000,1.000000,20,0.979630,0.002823
64,0.001000,0.010000,1.000000,25,0.971988,0.002744
64,0.001000,0.010000,1.000000,30,0.966564,0.002655
64,0.001000,0.010000,1.000000,35,0.963190,0.002604
64,0.001000,0.010000,1.000000,40,0.961459,0.002507
64,0.001000,0.010000,1.000000,45,0.960786,0.002457
64,0.001000,0.010000,1.000000,46,0.959126,0.000273
64,0.001000,0.010000,1.000000,47,0.961261,0.002022
64,0.001000,0.010000,1.000000,48,0.958428,0.000805
64,0.001000,0.010000,1.000000,49,0.959322,0.000000
64,0.001000,0.010000,1.000000,50,0.964481,0.000000
64,0.001000,0.020000,0.750000,5,0.993653,0.002489
64,0.001000,0.020000,0.750000,7,0.994810,0.002616
64,0.001000,0.020000,0.750000,8,0.992596,0.002156
64,0.001000,0.020000,0.750000,9,0.994295,0.000000
64,0.001000,0.020000,0.775000,5,0.993653,0.002490
64,0.001000,0.020000,0.775000,8,0.991943,0.000000
64,0.001000,0.020000,0.775000,9,0.993082,0.000260
64,0.001000,0.020000,0.775000,10,0.994052,0.002857
64,0.001000,0.020000,0.775000,11,0.994011,0.002397
64,0.001000,0.020000,0.800000,5,0.993655,0.002491
64,0.001000,0.020000,0.800000,10,0.993647,0.002491
64,0.001000,0.020000,0.800000,11,0.996838,0.000426
64,0.001000,0.020000,0.800000,12,0.992812,0.001471
64,0.001000,0.020000,0.800000,13,0.992879,0.002726
64,0.001000,0.020000,0.825000,5,0.993653,0.002489
64,0.001000,0.020000,0.825000,10,0.993640,0.002488
64,0.001000,0.020000,0.825000,14,0.991933,0.000000
64,0.001000,0.020000,0.825000,15,0.993821,0.002553
64,0.001000,0.020000,0.825000,16,0.993597,0.002800
64,0.001000,0.020000,0.825000,17,0.994063,0.002631
64,0.001000,0.020000,0.850000,5,0.993650,0.002492
64,0.001000,0.020000,0.850000,10,0.993632,0.002493
64,0.001000,0.020000,0.850000,15,0.993618,0.002494
64,0.001000,0.020000,0.850000,20,0.993609,0.002494
64,0.001000,0.020000,0.850000,21,0.994846,0.001536
64,0.001000,0.020000,0.850000,22,0.997476,0.000000
64,0.001000,0.020000,0.850000,23,0.993081,0.002146
64,0.001000,0.020000,0.850000,24,0.990414,0.000000
64,0.001000,0.020000,0.875000,5,0.993648,0.002491
64,0.001000,0.020000,0.875000,10,0.993619,0.002492
64,0.001000,0.020000,0.875000,15,0.993586,0.002493
64,0.001000,0.020000,0.875000,20,0.993559,0.002494
64,0.001000,0.020000,0.875000,25,0.993542,0.002495
64,0.001000,0.020000,0.875000,30,0.993532,0.002496
64,0.001000,0.020000,0.875000,32,0.997415,0.000000
64,0.001000,0.020000,0.875000,33,0.992742,0.003125
64,0.001000,0.020000,0.875000,34,0.994389,0.001478
64,0.001000,0.020000,0.875000,35,0.992158,0.000739
64,0.001000,0.020000,0.875000,36,0.993186,0.000000
64,0.001000,0.020000,0.900000,5,0.993649,0.002491
64,0.001000,0.020000,0.900000,10,0.993607,0.002491
64,0.001000,0.020000,0.900000,15,0.993538,0.002490
64,0.001000,0.020000,0.900000,20,0.993460,0.002489
64,0.001000,0.020000,0.900000,25,0.993393,0.002488
64,0.001000,0.020000,0.900000,30,0.993343,0.002487
64,0.001000,0.020000,0.900000,35,0.993309,0.002487
64,0.001000,0.020000,0.900000,40,0.993287,0.002487
64,0.001000,0.020000,0.900000,45,0.993274,0.002487
