K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.002000,0.100000,0.850000,0.981464,0.002644,144.960973,2.479702
64,0.002000,0.100000,0.875000,0.979742,0.002643,155.574254,2.232496
64,0.002000,0.100000,0.900000,0.977516,0.002598,154.182685,2.867493
64,0.002000,0.100000,0.925000,0.974398,0.002615,154.472174,3.278826
64,0.002000,0.100000,0.950000,0.970178,0.002560,154.596170,1.858583
64,0.002000,0.100000,0.975000,0.963726,0.002444,154.672345,2.388647
64,0.002000,0.100000,1.000000,0.955313,0.002476,154.771058,1.908446
64,0.005000,0.001000,0.750000,0.960470,0.002290,94.971928,3.035418
64,0.005000,0.001000,0.775000,0.957913,0.002203,104.421005,4.959674
64,0.005000,0.001000,0.800000,0.955315,0.002224,116.365170,4.632267
64,0.005000,0.001000,0.825000,0.952773,0.002253,133.894540,4.626915
64,0.005000,0.001000,0.850000,0.951330,0.002148,147.626837,7.144906
64,0.005000,0.001000,0.875000,0.952082,0.002198,50.740865,1.990946
64,0.005000,0.001000,0.900000,0.952571,0.002197,38.119166,1.121327
64,0.005000,0.001000,0.925000,0.953024,0.002199,31.729162,0.738859
64,0.005000,0.001000,0.950000,0.953107,0.002089,28.620502,0.572804
64,0.005000,0.001000,0.975000,0.953700,0.002167,27.133401,1.465695
64,0.005000,0.001000,1.000000,0.953799,0.001987,25.526858,0.548673
64,0.005000,0.002000,0.750000,0.960703,0.002373,95.396994,3.545626
64,0.005000,0.002000,0.775000,0.958056,0.002306,105.228795,4.090367
64,0.005000,0.002000,0.800000,0.955333,0.002155,116.145170,5.540420
64,0.005000,0.002000,0.825000,0.952677,0.002170,130.486177,6.582636
64,0.005000,0.002000,0.850000,0.951133,0.002164,148.245666,4.877572
64,0.005000,0.002000,0.875000,0.951506,0.002112,58.988658,4.156333
64,0.005000,0.002000,0.900000,0.951971,0.002043,40.267155,1.330302
64,0.005000,0.002000,0.925000,0.952391,0.002034,34.533597,1.142896
64,0.005000,0.002000,0.950000,0.952677,0.002069,31.137836,1.116374
64,0.005000,0.002000,0.975000,0.952881,0.002107,28.660712,0.588752
64,0.005000,0.002000,1.000000,0.953445,0.002144,25.561961,0.557473
64,0.005000,0.005000,0.750000,0.961385,0.002337,95.805311,3.190492
64,0.005000,0.005000,0.775000,0.958902,0.002322,106.300447,3.245118
64,0.005000,0.005000,0.800000,0.956006,0.002310,116.875511,4.066681
64,0.005000,0.005000,0.825000,0.953166,0.002238,130.797739,4.937111
64,0.005000,0.005000,0.850000,0.950611,0.002237,147.129876,6.167330
64,0.005000,0.005000,0.875000,0.949886,0.002008,124.757286,29.202814
64,0.005000,0.005000,0.900000,0.950494,0.002277,48.520834,1.381291
64,0.005000,0.005000,0.925000,0.950897,0.002148,37.991322,0.687673
64,0.005000,0.005000,0.950000,0.951352,0.002115,34.566390,1.124498
64,0.005000,0.005000,0.975000,0.951793,0.002059,31.440320,1.271454
64,0.005000,0.005000,1.000000,0.952062,0.002121,28.615057,0.464147
64,0.005000,0.010000,0.750000,0.962531,0.002360,96.376695,2.277923
64,0.005000,0.010000,0.775000,0.960184,0.002339,106.725879,2.966663
64,0.005000,0.010000,0.800000,0.957251,0.002236,117.638219,3.405610
64,0.005000,0.010000,0.825000,0.954373,0.002386,133.435497,4.778724
64,0.005000,0.010000,0.850000,0.950901,0.002409,148.372283,5.457886
64,0.005000,0.010000,0.875000,0.948552,0.002043,153.890523,2.666147
64,0.005000,0.010000,0.900000,0.948371,0.002241,78.748876,5.426414
64,0.005000,0.010000,0.925000,0.948998,0.002113,48.881949,1.767460
64,0.005000,0.010000,0.950000,0.949590,0.002217,40.575656,1.420533
64,0.005000,0.010000,0.975000,0.949811,0.002223,34.911912,0.596420
64,0.005000,0.010000,1.000000,0.950176,0.002095,31.636895,0.724373
64,0.005000,0.020000,0.750000,0.964894,0.002537,96.917867,1.783922
64,0.005000,0.020000,0.775000,0.962535,0.002307,106.868437,2.102828
64,0.005000,0.020000,0.800000,0.960034,0.002285,119.902538,3.584841
64,0.005000,0.020000,0.825000,0.957031,0.002268,134.955049,3.054031
64,0.005000,0.020000,0.850000,0.953545,0.002251,153.485134,3.316392
64,0.005000,0.020000,0.875000,0.949826,0.002317,154.431428,1.714685
