K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.005000,0.825000,15,0.986690,0.002492
64,0.001000,0.005000,0.825000,20,0.986212,0.002494
64,0.001000,0.005000,0.825000,25,0.986033,0.002495
64,0.001000,0.005000,0.825000,30,0.985965,0.002496
64,0.001000,0.005000,0.825000,35,0.985939,0.002496
64,0.001000,0.005000,0.825000,40,0.985929,0.002496
64,0.001000,0.005000,0.825000,41,0.989716,0.000000
64,0.001000,0.005000,0.825000,42,0.985507,0.002270
64,0.001000,0.005000,0.850000,5,0.990966,0.002557
64,0.001000,0.005000,0.850000,10,0.986788,0.002488
64,0.001000,0.005000,0.850000,15,0.985065,0.002493
64,0.001000,0.005000,0.850000,20,0.984366,0.002498
64,0.001000,0.005000,0.850000,25,0.984068,0.002501
64,0.001000,0.005000,0.850000,30,0.983939,0.002503
64,0.001000,0.005000,0.850000,35,0.983882,0.002503
64,0.001000,0.005000,0.850000,40,0.983856,0.002504
64,0.001000,0.005000,0.850000,45,0.983845,0.002503
64,0.001000,0.005000,0.850000,48,0.984057,0.002754
64,0.001000,0.005000,0.850000,49,0.982985,0.000285
64,0.001000,0.005000,0.875000,5,0.990564,0.002537
64,0.001000,0.005000,0.875000,10,0.985497,0.002462
64,0.001000,0.005000,0.875000,15,0.983341,0.002481
64,0.001000,0.005000,0.875000,20,0.982326,0.002490
64,0.001000,0.005000,0.875000,25,0.981817,0.002496
64,0.001000,0.005000,0.875000,30,0.981559,0.002499
64,0.001000,0.005000,0.875000,35,0.981429,0.002501
64,0.001000,0.005000,0.875000,40,0.981362,0.002502
64,0.001000,0.005000,0.875000,45,0.981328,0.002503
64,0.001000,0.005000,0.875000,50,0.981310,0.002503
64,0.001000,0.005000,0.875000,55,0.981301,0.002503
64,0.001000,0.005000,0.875000,57,0.983062,0.003123
64,0.001000,0.005000,0.875000,58,0.980544,0.001695
64,0.001000,0.005000,0.900000,5,0.990043,0.002457
64,0.001000,0.005000,0.900000,10,0.984262,0.002518
64,0.001000,0.005000,0.900000,15,0.981502,0.002549
64,0.001000,0.005000,0.900000,20,0.979953,0.002553
64,0.001000,0.005000,0.900000,25,0.979064,0.002553
64,0.001000,0.005000,0.900000,30,0.978550,0.002554
64,0.001000,0.005000,0.900000,35,0.978251,0.002554
64,0.001000,0.005000,0.900000,40,0.978077,0.002554
64,0.001000,0.005000,0.900000,45,0.977974,0.002554
64,0.001000,0.005000,0.900000,50,0.977915,0.002554
64,0.001000,0.005000,0.900000,55,0.977879,0.002554
64,0.001000,0.005000,0.900000,60,0.977858,0.002554
64,0.001000,0.005000,0.900000,65,0.977846,0.002554
64,0.001000,0.005000,0.900000,70,0.977839,0.002554
64,0.001000,0.005000,0.900000,71,0.975077,0.000000
64,0.001000,0.005000,0.900000,72,0.978302,0.002622
64,0.001000,0.005000,0.900000,73,0.976882,0.000000
64,0.001000,0.005000,0.925000,5,0.989395,0.002497
64,0.001000,0.005000,0.925000,10,0.982865,0.002490
64,0.001000,0.005000,0.925000,15,0.979319,0.002575
64,0.001000,0.005000,0.925000,20,0.977068,0.002614
64,0.001000,0.005000,0.925000,25,0.975642,0.002609
64,0.001000,0.005000,0.925000,30,0.974742,0.002593
64,0.001000,0.005000,0.925000,35,0.974163,0.002578
64,0.001000,0.005000,0.925000,40,0.973784,0.002566
64,0.001000,0.005000,0.925000,45,0.973534,0.002558
64,0.001000,0.005000,0.925000,50,0.973368,0.002552
64,0.001000,0.005000,0.925000,55,0.973256,0.002548
64,0.001000,0.005000,0.925000,60,0.973181,0.002546
64,0.001000,0.005000,0.925000,65,0.973131,0.002544
64,0.001000,0.005000,0.925000,70,0.973098,0.002543
64,0.001000,0.005000,0.925000,75,0.973075,0.002542
64,0.001000,0.005000,0.925000,80,0.973059,0.002541
64,0.001000,0.005000,0.925000,85,0.973048,0.002541
64,0.001000,0.005000,0.925000,90,0.973042,0.002541
64,0.001000,0.005000,0.925000,91,0.970829,0.000000
64,0.001000,0.005000,0.925000,92,0.970616,0.000000
64,0.001000,0.005000,0.925000,93,0.973131,0.002323
64,0.001000,0.005000,0.925000,94,0.977033,0.000000
64,0.001000,0.005000,0.950000,5,0.988921,0.002571
64,0.001000,0.005000,0.950000,10,0.981392,0.002610
64,0.001000,0.005000,0.950000,15,0.976799,0.002582
64,0.001000,0.005000,0.950000,20,0.973760,0.002532
64,0.001000,0.005000,0.950000,25,0.971731,0.002487
64,0.001000,0.005000,0.950000,30,0.970185,0.002446
64,0.001000,0.005000,0.950000,35,0.968960,0.002409
64,0.001000,0.005000,0.950000,40,0.967997,0.002379
64,0.001000,0.005000,0.950000,45,0.967249,0.002355
64,0.001000,0.005000,0.950000,50,0.966672,0.002337
64,0.001000,0.005000,0.950000,55,0.966228,0.002324
64,0.001000,0.005000,0.950000,60,0.965887,0.002314
64,0.001000,0.005000,0.950000,65,0.965624,0.002307
64,0.001000,0.005000,0.950000,70,0.965423,0.002302
64,0.001000,0.005000,0.950000,75,0.965269,0.002298
64,0.001000,0.005000,0.950000,80,0.965150,0.002296
64,0.001000,0.005000,0.950000,85,0.965059,0.002294
64,0.001000,0.005000,0.950000,90,0.964990,0.002293
64,0.001000,0.005000,0.950000,95,0.964936,0.002292
64,0.001000,0.005000,0.950000,100,0.964895,0.002291
64,0.001000,0.005000,0.975000,5,0.988429,0.002472
64,0.001000,0.005000,0.975000,10,0.979849,0.002497
64,0.001000,0.005000,0.975000,15,0.974063,0.002465
64,0.001000,0.005000,0.975000,20,0.970049,0.002401
64,0.001000,0.005000,0.975000,25,0.966443,0.002312
64,0.001000,0.005000,0.975000,30,0.963399,0.002246
64,0.001000,0.005000,0.975000,35,0.960917,0.002210
64,0.001000,0.005000,0.975000,40,0.958882,0.002189
64,0.001000,0.005000,0.975000,45,0.957216,0.002176
64,0.001000,0.005000,0.975000,50,0.955849,0.002165
64,0.001000,0.005000,0.975000,55,0.954726,0.002155
64,0.001000,0.005000,0.975000,60,0.953801,0.002147
64,0.001000,0.005000,0.975000,65,0.953036,0.002141
64,0.001000,0.005000,0.975000,70,0.952400,0.002134
64,0.001000,0.005000,0.975000,75,0.951869,0.002128
64,0.001000,0.005000,0.975000,80,0.951424,0.002122
64,0.001000,0.005000,0.975000,85,0.951049,0.002117
64,0.001000,0.005000,0.975000,90,0.950732,0.002112
64,0.001000,0.005000,0.975000,95,0.950464,0.002107
64,0.001000,0.005000,0.975000,100,0.950235,0.002103
64,0.001000,0.005000,1.000000,5,0.987798,0.002520
64,0.001000,0.005000,1.000000,10,0.978076,0.002618
64,0.001000,0.005000,1.000000,15,0.971283,0.002531
64,0.001000,0.005000,1.000000,20,0.965139,0.002365
64,0.001000,0.005000,1.000000,25,0.959655,0.002253
64,0.001000,0.005000,1.000000,30,0.955166,0.002178
64,0.001000,0.005000,1.000000,35,0.951736,0.002111
64,0.001000,0.005000,1.000000,40,0.949352,0.002037
64,0.001000,0.005000,1.000000,45,0.948096,0.001952
64,0.001000,0.005000,1.000000,47,0.947079,0.000000
64,0.001000,0.005000,1.000000,48,0.946246,0.000499
64,0.001000,0.005000,1.000000,49,0.948882,0.001859
64,0.001000,0.010000,0.750000,5,0.992424,0.002512
64,0.001000,0.010000,0.750000,10,0.990978,0.002523
64,0.001000,0.010000,0.750000,15,0.990545,0.002528
64,0.001000,0.010000,0.750000,20,0.990440,0.002529
64,0.001000,0.010000,0.750000,25,0.990415,0.002529
64,0.001000,0.010000,0.750000,29,0.990411,0.002529
64,0.001000,0.010000,0.775000,5,0.992202,0.002533
64,0.001000,0.010000,0.775000,10,0.990207,0.002519
64,0.001000,0.010000,0.775000,15,0.989556,0.002501
64,0.001000,0.010000,0.775000,20,0.989374,0.002496
64,0.001000,0.010000,0.775000,25,0.989324,0.002495
64,0.001000,0.010000,0.775000,30,0.989309,0.002494
64,0.001000,0.010000,0.775000,32,0.989745,0.003066
64,0.001000,0.010000,0.775000,33,0.988652,0.000860
64,0.001000,0.010000,0.800000,5,0.991892,0.002485
64,0.001000,0.010000,0.800000,10,0.989241,0.002439
64,0.001000,0.010000,0.800000,15,0.988339,0.002421
64,0.001000,0.010000,0.800000,20,0.988046,0.002417
64,0.001000,0.010000,0.800000,25,0.987950,0.002416
64,0.001000,0.010000,0.800000,30,0.987918,0.002416
64,0.001000,0.010000,0.800000,35,0.987908,0.002416
64,0.001000,0.010000,0.800000,36,0.988036,0.002685
64,0.001000,0.010000,0.800000,37,0.987714,0.001927
64,0.001000,0.010000,0.825000,5,0.991493,0.002464
64,0.001000,0.010000,0.825000,10,0.988198,0.002444
64,0.001000,0.010000,0.825000,15,0.986958,0.002446
64,0.001000,0.010000,0.825000,20,0.986492,0.002449
64,0.001000,0.010000,0.825000,25,0.986316,0.002450
64,0.001000,0.010000,0.825000,30,0.986249,0.002451
64,0.001000,0.010000,0.825000,35,0.986224,0.002451
64,0.001000,0.010000,0.825000,40,0.986214,0.002451
64,0.001000,0.010000,0.825000,41,0.989932,0.000000
64,0.001000,0.010000,0.825000,42,0.985800,0.002229
64,0.001000,0.010000,0.850000,5,0.991030,0.002535
64,0.001000,0.010000,0.850000,10,0.987044,0.002510
64,0.001000,0.010000,0.850000,15,0.985361,0.002508
64,0.001000,0.010000,0.850000,20,0.984669,0.002505
64,0.001000,0.010000,0.850000,25,0.984375,0.002504
64,0.001000,0.010000,0.850000,30,0.984247,0.002504
64,0.001000,0.010000,0.850000,35,0.984190,0.002503
