Sender: LSF System <lsfadmin@e2089>
Subject: Job 8116465: <matlab -nodisplay -singleCompThread -r GridSearch_ComputeBiases> in cluster <euler> Done

Job <matlab -nodisplay -singleCompThread -r GridSearch_ComputeBiases> was submitted from host <euler04> by user <dojan> in cluster <euler>.
Job was executed on host(s) <10*e2089>, in queue <normal.4h>, as user <dojan> in cluster <euler>.
</cluster/home/dojan> was used as the home directory.
</cluster/home/dojan/cil/cil_2015_nstd_git/project/src> was used as the working directory.
Started at Wed Jun 17 15:05:14 2015
Results reported on Wed Jun 17 15:18:20 2015

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
matlab -nodisplay -singleCompThread -r GridSearch_ComputeBiases
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :               5287.83 sec.
    Max Memory :             7442 MB
    Average Memory :         4032.48 MB
    Total Requested Memory : 10240.00 MB
    Delta Memory :           2798.00 MB
    (Delta: the difference between Total Requested Memory and Max Memory.)
    Max Swap :               2 MB
    Max Processes :          27
    Max Threads :            339

The output (if any) follows:


                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013b (8.2.0.701) 64-bit (glnxa64)
                              August 13, 2013


To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.

Starting parallel pool (parpool) using the 'local' profile ... connected to 10 workers.
Grid Search Compute Biases
Lambda_1,Lambda_2,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
10,10,0.993746,0.002627,0.549229,0.046906
10,11,0.993743,0.002625,0.548135,0.045813
10,12,0.993745,0.002623,0.561513,0.053946
10,13,0.993752,0.002621,0.586444,0.078315
10,14,0.993762,0.002620,0.583278,0.082527
10,15,0.993777,0.002618,0.573811,0.060654
10,16,0.993795,0.002617,0.611788,0.143549
10,17,0.993816,0.002615,0.564568,0.052144
10,18,0.993840,0.002614,0.551511,0.048851
10,19,0.993867,0.002613,0.596171,0.076098
10,20,0.993897,0.002611,0.573892,0.056247
11,0,0.994160,0.002657,0.573422,0.060890
11,1,0.994076,0.002652,0.538912,0.040215
11,2,0.994006,0.002649,0.574347,0.052482
11,3,0.993946,0.002645,0.552334,0.048145
11,4,0.993897,0.002642,0.549274,0.047906
11,5,0.993856,0.002639,0.550820,0.049147
11,6,0.993823,0.002636,0.549691,0.047921
11,7,0.993797,0.002633,0.545997,0.045090
11,8,0.993778,0.002631,0.562002,0.055030
11,9,0.993765,0.002629,0.557588,0.050677
11,10,0.993757,0.002627,0.594786,0.090625
11,11,0.993755,0.002625,0.551668,0.047598
11,12,0.993757,0.002623,0.559990,0.053561
11,13,0.993763,0.002621,0.557655,0.053400
11,14,0.993774,0.002620,0.546740,0.045843
11,15,0.993788,0.002618,0.547375,0.043468
11,16,0.993806,0.002617,0.549488,0.046939
11,17,0.993827,0.002615,0.554113,0.047784
11,18,0.993851,0.002614,0.593382,0.057155
11,19,0.993878,0.002613,0.556440,0.049321
11,20,0.993908,0.002612,0.549315,0.048738
12,0,0.994172,0.002657,0.545647,0.046875
12,1,0.994088,0.002653,0.549122,0.047152
12,2,0.994018,0.002649,0.574615,0.103580
12,3,0.993958,0.002645,0.560895,0.055830
12,4,0.993909,0.002642,0.603619,0.095427
12,5,0.993868,0.002639,0.570879,0.089311
12,6,0.993835,0.002636,0.547856,0.045958
12,7,0.993809,0.002634,0.547730,0.046317
12,8,0.993790,0.002631,0.552552,0.047863
12,9,0.993777,0.002629,0.550998,0.048808
12,10,0.993769,0.002627,0.605279,0.124812
12,11,0.993766,0.002625,0.589083,0.090082
12,12,0.993769,0.002623,0.608664,0.121443
12,13,0.993775,0.002622,0.581346,0.089935
12,14,0.993786,0.002620,0.548519,0.046477
12,15,0.993800,0.002619,0.548674,0.048953
12,16,0.993818,0.002617,0.552400,0.048973
12,17,0.993839,0.002616,0.551998,0.050081
12,18,0.993863,0.002614,0.548995,0.047367
12,19,0.993890,0.002613,0.549311,0.047349
12,20,0.993920,0.002612,0.550137,0.047211
13,0,0.994184,0.002657,0.547628,0.048523
13,1,0.994101,0.002653,0.549819,0.047222
13,2,0.994030,0.002649,0.610763,0.132419
13,3,0.993971,0.002645,0.577582,0.065296
13,4,0.993921,0.002642,0.549560,0.046425
13,5,0.993880,0.002639,0.573090,0.054924
13,6,0.993847,0.002636,0.608532,0.119406
13,7,0.993821,0.002634,0.587238,0.104820
13,8,0.993802,0.002632,0.572046,0.057747
13,9,0.993789,0.002629,0.553232,0.049802
13,10,0.993781,0.002627,0.568131,0.047179
13,11,0.993779,0.002626,0.630534,0.150598
13,12,0.993781,0.002624,0.595850,0.117960
13,13,0.993787,0.002622,0.577366,0.074672
13,14,0.993798,0.002620,0.601479,0.112414
13,15,0.993812,0.002619,0.552895,0.050366
13,16,0.993830,0.002617,0.545531,0.045994
13,17,0.993851,0.002616,0.555754,0.050768
13,18,0.993876,0.002615,0.587895,0.116536
13,19,0.993903,0.002613,0.555056,0.052247
13,20,0.993932,0.002612,0.549641,0.038194
14,0,0.994197,0.002657,0.547970,0.046632
14,1,0.994113,0.002653,0.559447,0.050860
14,2,0.994043,0.002649,0.554183,0.049450
14,3,0.993983,0.002646,0.546569,0.046399
14,4,0.993934,0.002642,0.550707,0.048882
14,5,0.993893,0.002639,0.549060,0.046503
14,6,0.993860,0.002637,0.570118,0.057589
14,7,0.993834,0.002634,0.571754,0.061795
14,8,0.993815,0.002632,0.603091,0.108038
14,9,0.993802,0.002630,0.579161,0.052564
14,10,0.993794,0.002628,0.599891,0.104903
14,11,0.993791,0.002626,0.555691,0.050345
14,12,0.993794,0.002624,0.600935,0.129681
14,13,0.993800,0.002622,0.579067,0.082086
14,14,0.993811,0.002621,0.557827,0.052266
14,15,0.993825,0.002619,0.558937,0.048400
14,16,0.993843,0.002618,0.558878,0.055592
14,17,0.993864,0.002616,0.560730,0.054749
14,18,0.993888,0.002615,0.556958,0.053653
14,19,0.993915,0.002614,0.558460,0.054710
14,20,0.993945,0.002613,0.556205,0.052951
15,0,0.994210,0.002658,0.561012,0.055407
15,1,0.994127,0.002653,0.615739,0.131001
15,2,0.994056,0.002650,0.586295,0.069415
15,3,0.993997,0.002646,0.551809,0.049047
15,4,0.993947,0.002643,0.554703,0.049497
15,5,0.993906,0.002640,0.552362,0.048593
15,6,0.993873,0.002637,0.605892,0.123311
15,7,0.993847,0.002635,0.612385,0.135931
15,8,0.993828,0.002632,0.587910,0.085592
15,9,0.993815,0.002630,0.614390,0.157038
15,10,0.993807,0.002628,0.590706,0.097134
15,11,0.993805,0.002626,0.572405,0.051550
15,12,0.993807,0.002624,0.561766,0.045883
15,13,0.993813,0.002623,0.549362,0.049354
15,14,0.993824,0.002621,0.549562,0.048429
15,15,0.993838,0.002620,0.554580,0.052287
15,16,0.993856,0.002618,0.561136,0.049817
15,17,0.993877,0.002617,0.559432,0.053693
15,18,0.993901,0.002615,0.552090,0.047594
15,19,0.993928,0.002614,0.601479,0.139683
15,20,0.993958,0.002613,0.549149,0.039804
16,0,0.994224,0.002658,0.548601,0.046373
16,1,0.994140,0.002654,0.558877,0.052525
16,2,0.994069,0.002650,0.558624,0.053716
16,3,0.994010,0.002646,0.548082,0.047395
16,4,0.993960,0.002643,0.550156,0.047470
16,5,0.993919,0.002640,0.549121,0.045665
16,6,0.993886,0.002637,0.548959,0.048462
16,7,0.993861,0.002635,0.598433,0.122916
16,8,0.993841,0.002633,0.562444,0.054434
16,9,0.993828,0.002631,0.558508,0.048489
16,10,0.993821,0.002628,0.586209,0.091368
16,11,0.993818,0.002627,0.550554,0.050180
16,12,0.993820,0.002625,0.549675,0.049974
16,13,0.993827,0.002623,0.551101,0.049789
16,14,0.993837,0.002621,0.557201,0.055602
16,15,0.993852,0.002620,0.564168,0.056903
16,16,0.993870,0.002618,0.556395,0.053258
16,17,0.993891,0.002617,0.555815,0.050820
16,18,0.993915,0.002616,0.625793,0.174094
16,19,0.993942,0.002615,0.586184,0.108256
16,20,0.993971,0.002613,0.563154,0.090870
17,0,0.994238,0.002658,0.609381,0.132865
17,1,0.994154,0.002654,0.604158,0.138136
17,2,0.994083,0.002650,0.596703,0.097600
17,3,0.994024,0.002647,0.549714,0.047294
17,4,0.993974,0.002643,0.555454,0.048989
17,5,0.993933,0.002640,0.560842,0.054025
17,6,0.993900,0.002638,0.560512,0.054533
17,7,0.993874,0.002635,0.563103,0.055444
17,8,0.993855,0.002633,0.580272,0.070630
17,9,0.993842,0.002631,0.548464,0.047424
17,10,0.993834,0.002629,0.550881,0.049030
17,11,0.993832,0.002627,0.548506,0.047066
17,12,0.993834,0.002625,0.551933,0.047017
17,13,0.993840,0.002623,0.611411,0.127687
17,14,0.993851,0.002622,0.601671,0.125575
17,15,0.993865,0.002620,0.589879,0.090616
17,16,0.993883,0.002619,0.611061,0.155638
17,17,0.993904,0.002617,0.590447,0.089920
17,18,0.993928,0.002616,0.549569,0.046260
17,19,0.993955,0.002615,0.579105,0.082605
17,20,0.993985,0.002614,0.602110,0.123878
18,0,0.994252,0.002659,0.585845,0.085648
18,1,0.994168,0.002654,0.594713,0.105860
18,2,0.994097,0.002651,0.613098,0.156218
18,3,0.994038,0.002647,0.597355,0.108625
18,4,0.993988,0.002644,0.572944,0.064081
18,5,0.993947,0.002641,0.552332,0.048707
18,6,0.993914,0.002638,0.580626,0.064219
18,7,0.993888,0.002636,0.558155,0.051752
18,8,0.993869,0.002633,0.556192,0.052690
18,9,0.993856,0.002631,0.558154,0.050447
18,10,0.993848,0.002629,0.555649,0.052049
18,11,0.993846,0.002627,0.554886,0.051138
18,12,0.993848,0.002626,0.582478,0.061845
18,13,0.993854,0.002624,0.550021,0.046904
18,14,0.993865,0.002622,0.557009,0.051914
18,15,0.993879,0.002621,0.590118,0.089745
18,16,0.993897,0.002619,0.558927,0.051460
18,17,0.993918,0.002618,0.559978,0.052746
18,18,0.993943,0.002617,0.561429,0.054374
18,19,0.993969,0.002615,0.557494,0.052350
18,20,0.993999,0.002614,0.558208,0.050590
19,0,0.994266,0.002659,0.558126,0.051612
19,1,0.994182,0.002655,0.598393,0.112383
19,2,0.994112,0.002651,0.557615,0.051785
19,3,0.994052,0.002647,0.561615,0.052883
19,4,0.994003,0.002644,0.611646,0.113172
19,5,0.993962,0.002641,0.562059,0.054517
19,6,0.993929,0.002639,0.552938,0.049926
19,7,0.993903,0.002636,0.557602,0.052596
19,8,0.993884,0.002634,0.556446,0.051512
19,9,0.993870,0.002632,0.550673,0.045922
19,10,0.993863,0.002630,0.587976,0.091578
19,11,0.993860,0.002628,0.555199,0.051754
19,12,0.993862,0.002626,0.560941,0.055207
19,13,0.993869,0.002624,0.549411,0.048296
19,14,0.993879,0.002623,0.547480,0.045759
19,15,0.993894,0.002621,0.550709,0.045484
19,16,0.993912,0.002620,0.552708,0.044631
19,17,0.993933,0.002618,0.561415,0.055072
19,18,0.993957,0.002617,0.559832,0.053441
19,19,0.993984,0.002616,0.549731,0.046405
19,20,0.994013,0.002615,0.589600,0.125845
20,0,0.994281,0.002659,0.570946,0.072776
20,1,0.994197,0.002655,0.559406,0.054472
20,2,0.994126,0.002651,0.555533,0.051943
20,3,0.994067,0.002648,0.558882,0.053432
20,4,0.994017,0.002645,0.555004,0.048491
20,5,0.993976,0.002642,0.559905,0.053057
20,6,0.993943,0.002639,0.562745,0.056236
20,7,0.993917,0.002636,0.548643,0.045584
20,8,0.993898,0.002634,0.550621,0.047956
20,9,0.993885,0.002632,0.553217,0.049300
