K,Lambda,Gamma,Shrink,Mean_RMSE,Std_RMSE,Mean_CPU,Std_CPU
64,0.002000,0.100000,0.850000,0.956946,0.002482,163.873491,6.601821
64,0.002000,0.100000,0.875000,0.954794,0.002394,171.173978,10.367456
64,0.002000,0.100000,0.900000,0.952364,0.002442,171.103950,8.841486
64,0.002000,0.100000,0.925000,0.949688,0.002417,171.542252,8.108852
64,0.002000,0.100000,0.950000,0.947305,0.002446,170.600099,8.421746
64,0.002000,0.100000,0.975000,0.945580,0.002438,166.787773,8.221112
64,0.002000,0.100000,1.000000,0.945286,0.002362,164.563937,12.952096
64,0.005000,0.001000,0.750000,0.958569,0.002435,11.276205,1.518664
64,0.005000,0.001000,0.775000,0.958614,0.002636,10.729114,0.717093
64,0.005000,0.001000,0.800000,0.958762,0.002509,11.259380,2.029786
64,0.005000,0.001000,0.825000,0.958782,0.002383,11.323321,2.007442
64,0.005000,0.001000,0.850000,0.959130,0.002420,12.618348,2.607904
64,0.005000,0.001000,0.875000,0.959242,0.002253,10.510738,0.508457
64,0.005000,0.001000,0.900000,0.959639,0.002278,10.695549,0.588218
64,0.005000,0.001000,0.925000,0.959697,0.002265,11.028885,1.288570
64,0.005000,0.001000,0.950000,0.959912,0.002423,12.841779,3.321017
64,0.005000,0.001000,0.975000,0.960226,0.002280,12.496070,2.658775
64,0.005000,0.001000,1.000000,0.960693,0.002460,10.521944,0.515117
64,0.005000,0.002000,0.750000,0.958001,0.002339,10.539712,0.559217
64,0.005000,0.002000,0.775000,0.958276,0.002355,10.484418,0.499606
64,0.005000,0.002000,0.800000,0.958392,0.002302,10.476462,0.531920
64,0.005000,0.002000,0.825000,0.958566,0.002451,12.369319,2.595704
64,0.005000,0.002000,0.850000,0.958704,0.002381,10.497759,0.528518
64,0.005000,0.002000,0.875000,0.958990,0.002458,10.745906,0.896442
64,0.005000,0.002000,0.900000,0.959184,0.002526,12.753566,3.358905
64,0.005000,0.002000,0.925000,0.959368,0.002578,12.285541,2.148940
64,0.005000,0.002000,0.950000,0.959518,0.002522,11.070110,1.433842
64,0.005000,0.002000,0.975000,0.959673,0.002303,10.744204,0.739092
64,0.005000,0.002000,1.000000,0.959859,0.002332,10.507305,0.505056
64,0.005000,0.005000,0.750000,0.957525,0.002387,10.472589,0.468385
64,0.005000,0.005000,0.775000,0.957625,0.002484,12.823997,2.707747
64,0.005000,0.005000,0.800000,0.957576,0.002541,10.470398,0.477291
64,0.005000,0.005000,0.825000,0.957633,0.002424,10.600663,0.548346
64,0.005000,0.005000,0.850000,0.957715,0.002413,11.288953,1.940719
64,0.005000,0.005000,0.875000,0.957927,0.002431,10.461356,0.476360
64,0.005000,0.005000,0.900000,0.957844,0.002449,13.507705,3.610762
64,0.005000,0.005000,0.925000,0.957963,0.002525,10.551963,0.489835
64,0.005000,0.005000,0.950000,0.958381,0.002382,10.470554,0.463227
64,0.005000,0.005000,0.975000,0.958439,0.002356,10.465705,0.490438
64,0.005000,0.005000,1.000000,0.958661,0.002364,10.487912,0.508145
