K,Lambda,Gamma,Shrink,Epoch,Mean_RMSE,Std_RMSE
64,0.001000,0.010000,0.950000,45,0.964237,0.002282
64,0.001000,0.010000,0.950000,50,0.963656,0.002269
64,0.001000,0.010000,0.975000,5,0.987109,0.002419
64,0.001000,0.010000,0.975000,10,0.978105,0.002361
64,0.001000,0.010000,0.975000,15,0.971902,0.002420
64,0.001000,0.010000,0.975000,20,0.967251,0.002329
64,0.001000,0.010000,0.975000,25,0.963498,0.002230
64,0.001000,0.010000,0.975000,30,0.960493,0.002164
64,0.001000,0.010000,0.975000,35,0.958065,0.002120
64,0.001000,0.010000,0.975000,40,0.956110,0.002089
64,0.001000,0.010000,0.975000,45,0.954545,0.002065
64,0.001000,0.010000,0.975000,50,0.953294,0.002045
64,0.001000,0.010000,1.000000,5,0.986551,0.002454
64,0.001000,0.010000,1.000000,10,0.976201,0.002519
64,0.001000,0.010000,1.000000,15,0.968695,0.002390
64,0.001000,0.010000,1.000000,20,0.962279,0.002252
64,0.001000,0.010000,1.000000,25,0.956919,0.002174
64,0.001000,0.010000,1.000000,30,0.952729,0.002130
64,0.001000,0.010000,1.000000,35,0.949844,0.002096
64,0.001000,0.010000,1.000000,40,0.948291,0.002064
64,0.001000,0.010000,1.000000,43,0.946952,0.000000
64,0.001000,0.010000,1.000000,44,0.947698,0.002081
64,0.001000,0.010000,1.000000,45,0.949566,0.001566
64,0.001000,0.020000,0.750000,5,0.991978,0.002461
64,0.001000,0.020000,0.750000,10,0.990249,0.002437
64,0.001000,0.020000,0.750000,15,0.989758,0.002431
64,0.001000,0.020000,0.750000,20,0.989639,0.002429
64,0.001000,0.020000,0.750000,25,0.989611,0.002429
64,0.001000,0.020000,0.750000,29,0.989606,0.002429
64,0.001000,0.020000,0.775000,5,0.991669,0.002525
64,0.001000,0.020000,0.775000,10,0.989338,0.002508
64,0.001000,0.020000,0.775000,15,0.988625,0.002491
64,0.001000,0.020000,0.775000,20,0.988427,0.002486
64,0.001000,0.020000,0.775000,25,0.988373,0.002485
64,0.001000,0.020000,0.775000,30,0.988357,0.002484
64,0.001000,0.020000,0.775000,32,0.985521,0.000061
64,0.001000,0.020000,0.775000,33,0.989063,0.002281
64,0.001000,0.020000,0.800000,5,0.991447,0.002409
64,0.001000,0.020000,0.800000,10,0.988444,0.002358
64,0.001000,0.020000,0.800000,15,0.987449,0.002356
64,0.001000,0.020000,0.800000,20,0.987135,0.002357
64,0.001000,0.020000,0.800000,25,0.987034,0.002358
64,0.001000,0.020000,0.800000,30,0.987001,0.002358
64,0.001000,0.020000,0.800000,35,0.986990,0.002358
64,0.001000,0.020000,0.800000,36,0.987491,0.003304
64,0.001000,0.020000,0.800000,37,0.986864,0.002036
64,0.001000,0.020000,0.825000,5,0.990903,0.002515
64,0.001000,0.020000,0.825000,10,0.987105,0.002506
64,0.001000,0.020000,0.825000,15,0.985802,0.002506
64,0.001000,0.020000,0.825000,20,0.985340,0.002508
64,0.001000,0.020000,0.825000,25,0.985169,0.002509
64,0.001000,0.020000,0.825000,30,0.985104,0.002509
64,0.001000,0.020000,0.825000,35,0.985079,0.002509
64,0.001000,0.020000,0.825000,40,0.985070,0.002509
64,0.001000,0.020000,0.825000,41,0.984918,0.002849
64,0.001000,0.020000,0.825000,42,0.985134,0.002346
64,0.001000,0.020000,0.850000,5,0.990428,0.002434
64,0.001000,0.020000,0.850000,10,0.985992,0.002449
64,0.001000,0.020000,0.850000,15,0.984376,0.002467
64,0.001000,0.020000,0.850000,20,0.983720,0.002475
64,0.001000,0.020000,0.850000,25,0.983437,0.002478
64,0.001000,0.020000,0.850000,30,0.983314,0.002480
64,0.001000,0.020000,0.850000,35,0.983259,0.002480
64,0.001000,0.020000,0.850000,40,0.983235,0.002480
64,0.001000,0.020000,0.850000,45,0.983224,0.002481
64,0.001000,0.020000,0.850000,48,0.983222,0.002481
64,0.001000,0.020000,0.875000,5,0.990016,0.002423
64,0.001000,0.020000,0.875000,10,0.984826,0.002366
64,0.001000,0.020000,0.875000,15,0.982745,0.002412
64,0.001000,0.020000,0.875000,20,0.981718,0.002426
64,0.001000,0.020000,0.875000,25,0.981194,0.002430
64,0.001000,0.020000,0.875000,30,0.980927,0.002431
64,0.001000,0.020000,0.875000,35,0.980790,0.002432
64,0.001000,0.020000,0.875000,40,0.980721,0.002432
64,0.001000,0.020000,0.875000,45,0.980685,0.002432
64,0.001000,0.020000,0.875000,50,0.980667,0.002432
64,0.001000,0.020000,0.900000,5,0.989483,0.002502
64,0.001000,0.020000,0.900000,10,0.983572,0.002523
64,0.001000,0.020000,0.900000,15,0.980832,0.002531
64,0.001000,0.020000,0.900000,20,0.979261,0.002535
64,0.001000,0.020000,0.900000,25,0.978362,0.002537
64,0.001000,0.020000,0.900000,30,0.977844,0.002537
64,0.001000,0.020000,0.900000,35,0.977544,0.002537
64,0.001000,0.020000,0.900000,40,0.977369,0.002537
64,0.001000,0.020000,0.900000,45,0.977266,0.002536
64,0.001000,0.020000,0.900000,50,0.977206,0.002536
64,0.001000,0.020000,0.925000,5,0.988767,0.002467
64,0.001000,0.020000,0.925000,10,0.982097,0.002479
64,0.001000,0.020000,0.925000,15,0.978474,0.002539
64,0.001000,0.020000,0.925000,20,0.976251,0.002552
64,0.001000,0.020000,0.925000,25,0.974864,0.002539
64,0.001000,0.020000,0.925000,30,0.973976,0.002523
